Time,P_3_pv0,P_3_pv1,P_3_pv3,T_27_pv1,T_27_pv2
2025-04-03 04:00:00+00:00,2090.31579575,205.0159149,5.63751840575,6.9375,7.234375
2025-04-04 00:00:00+00:00,2113.5614625,207.59207535000002,6.988275528,7.53125,23.921875
2025-04-04 01:00:00+00:00,2110.49438475,207.197174075,6.6023447515,7.328125,7.65625
2025-04-04 02:00:00+00:00,2106.16613775,206.73223115000002,6.37518310525,7.09375,7.375
2025-04-04 03:00:00+00:00,2102.705383,206.3445778,6.155349254500001,6.96875,7.328125
2025-04-04 04:00:00+00:00,2100.6705325000003,206.1171913,6.0258915425,6.71875,7.15625
2025-04-05 00:00:00+00:00,2117.733948,208.085178375,7.37420618525,7.8125,8.21875
2025-04-05 01:00:00+00:00,2112.52453625,207.438289625,6.74890065175,7.34375,7.84375
2025-04-05 02:00:00+00:00,2104.70013425,206.5840454,6.350757122,6.375,7.078125
2025-04-05 03:00:00+00:00,2100.2894285,206.05370712500002,5.9062042235,5.703125,6.53125
2025-04-05 04:00:00+00:00,2101.8881837500003,206.18715667499998,5.79384469975,6.015625,6.609375
2025-04-06 00:00:00+00:00,2084.06378175,204.0282173,3.87371766575,3.515625,3.8125
2025-04-06 01:00:00+00:00,2079.241272,203.43411255,3.3243771195000003,2.890625,3.140625
2025-04-06 02:00:00+00:00,2074.15667725,202.82579805,2.776990771,2.328125,2.546875
2025-04-06 03:00:00+00:00,2071.6914672499997,202.48292925,2.305324793,1.84375,2.140625
2025-04-06 04:00:00+00:00,2069.4197384999998,202.228420225,2.1421592235,1.546875,1.890625
2025-04-07 00:00:00+00:00,2068.37713625,202.03709795,1.72862723475,2.046875,2.484375
2025-04-07 01:00:00+00:00,2069.63598625,202.171714775,1.8146067857500001,2.328125,2.65625
2025-04-07 02:00:00+00:00,2069.19879125,202.13870237499998,1.82926237575,2.34375,2.703125
2025-04-07 03:00:00+00:00,2071.265747,202.327106475,1.758182734,2.515625,2.734375
2025-04-07 04:00:00+00:00,2067.6355590000003,201.986625675,1.824377179,2.34375,2.75
2025-04-08 00:00:00+00:00,2082.800415,203.84617997499998,3.605276108,5.21875,5.453125
2025-04-08 01:00:00+00:00,2081.6879882499998,203.735404975,3.5920860765000002,5.171875,5.46875
2025-04-08 02:00:00+00:00,2079.78259275,203.539596575,3.5559356214999998,5.140625,5.421875
2025-04-08 03:00:00+00:00,2080.0778195,203.52983855,3.3707864285,4.9375,5.1875
2025-04-08 04:00:00+00:00,2079.7928465,203.513958,3.4242793325,5.140625,5.375
2025-04-09 00:00:00+00:00,2081.605591,203.62606432500002,3.12383973625,3.640625,4.171875
2025-04-09 01:00:00+00:00,2074.83856175,202.914012925,2.8820224999999997,3.21875,3.5625
2025-04-09 02:00:00+00:00,2070.33410625,202.36470415,2.36907660975,2.53125,2.953125
2025-04-09 03:00:00+00:00,2065.782837,201.8593712,2.080850005,2.1875,2.765625
2025-04-09 04:00:00+00:00,2067.612732,202.02996825,2.0026868582499997,2.28125,2.765625
2025-04-10 00:00:00+00:00,2118.6117555,207.78284455,5.593551636,8.046875,8.234375
2025-04-10 01:00:00+00:00,2117.01068125,207.66337585,5.630190611,8.15625,8.328125
2025-04-10 02:00:00+00:00,2119.2561035,207.862819675,5.6643869875,8.1875,8.359375
2025-04-10 03:00:00+00:00,2120.5126955,208.009117125,5.77674651125,8.640625,8.734375
2025-04-10 04:00:00+00:00,2118.43560775,207.85461807500002,6.08207130425,9.09375,9.25
2025-04-11 00:00:00+00:00,2101.6287596,205.95361940000004,4.8332192418,5.7875,6.35
2025-04-11 01:00:00+00:00,2094.566284,205.179080975,4.445529937750001,5.078125,5.65625
2025-04-11 02:00:00+00:00,2095.507019,205.19521715000002,4.0962383745,4.890625,5.359375
2025-04-11 03:00:00+00:00,2091.3755495,204.803802475,4.1592574120000005,5.203125,5.65625
2025-04-11 04:00:00+00:00,2088.008667,204.43255615,3.95701026925,4.703125,5.28125
2025-04-12 00:00:00+00:00,1720.22546375,169.07212065,7.62090873725,9.984375,10.1875
2025-04-12 01:00:00+00:00,1600.68551625,157.27375792499998,7.32291173925,9.484375,9.703125
2025-04-12 02:00:00+00:00,1414.693268,138.970890025,7.12994647,9.171875,9.390625
2025-04-12 03:00:00+00:00,1241.4099425,121.89537047499999,6.7195894715,8.09375,8.46875
2025-04-12 04:00:00+00:00,1113.0785215,109.241922375,6.262823581999999,7.453125,7.890625
